listing_id,published_at,closed_at,status,deal_type,city,district,address,lat,lon,rooms,floor,floors_total,area_total,area_kitchen,price,currency,price_uah,agent_id,agency,contact_phone,source,description
L100000,2024-01-20,NA,active,rent,Kyiv,Podilskyi,"vul. Shevchenka, 74",50.452964,30.558888,2,4,11,78,NA,24722,UAH,24722,AG6402,RealtyPro,380858132676,portal_b,"Modern design, all amenities. Podilskyi, 78 sq.m."
L100001,2024-04-18,2024-04-25,closed,sale,Odesa,Malynovskyi,"vul. Shevchenka, 42",46.52316,30.734478,3,4,12,63,16,90435,USD,3391312,AG3273,CityRealty,380997433751,portal_c,Comfortable 3-room apartment in Malynovskyi district. Total area 63 sq.m.
L100002,2024-01-05,NA,active,rent,Kyiv,Sviatoshynskyi,"vul. Franka, 6",50.502553,30.476821,4,6,6,97,15,764,USD,28650,AG1102,EstateGroup,380858101417,portal_a,"Perfect for families. 4-bedroom apartment, 6/6 floor."
L100003,2024-05-28,NA,active,sale,Kiev,Holosiivskyi,"vul. Bandery, 69",50.452359,30.559996,2,5,22,76,11,86723,EUR,3538298,AG1099,EstateGroup,380883722193,portal_c,"Perfect for families. 2-bedroom apartment, 5/22 floor."
L100004,2024-04-21,NA,active,sale,Kyiv,Darnytskyi,"vul. Lesi Ukrainky, 32",50.461121,30.536852,4,9,13,60,15,75945,USD,2847938,AG1950,PrimeEstate,380871005260,portal_b,"Perfect for families. 4-bedroom apartment, 9/13 floor."
L100005,2024-01-06,2024-02-24,closed,rent,Kyiv,Dniprovskyi,"vul. Soborna, 43",50.397461,30.556307,1,17,23,60,NA,347,USD,13012,AG8613,HomeCenter,380868348977,portal_c,"Great location in Kyiv. 1 rooms, 17 floor. Well renovated."
L100006,2024-05-07,2024-06-19,closed,sale,Lviv,Shevchenkivskyi,"vul. Sichovykh Striltsiv, 38",49.820441,24.049081,4,7,14,116,16,117687,USD,4413262,AG9855,EstateGroup,380832601883,portal_c,"Perfect for families. 4-bedroom apartment, 7/14 floor."
L100007,2024-03-18,NA,active,rent,Lviv,Shevchenkivskyi,"vul. Franka, 124",49.843061,24.04169,3,1,9,64,12,20135,UAH,20135,AG4168,CityRealty,380863018796,portal_c,"Modern design, all amenities. Shevchenkivskyi, 64 sq.m."
L100008,2024-05-05,NA,active,rent,Lviv,Halytskyi,"vul. Teatralna, 27",49.816611,24.03367,4,1,13,45,8,11444,UAH,11444,NA,NA,380984972723,portal_a,Comfortable 4-room apartment in Halytskyi district. Total area 45 sq.m.
L100009,2024-05-23,2024-06-01,closed,rent,Kyiv,Pecherskyi,"vul. Peremohy, 127",50.513857,30.581413,5,5,23,91,13,523,USD,19612,NA,NA,380581179025,portal_a,"Modern design, all amenities. Pecherskyi, 91 sq.m."
L100010,2024-02-24,2024-04-09,withdrawn,rent,Odesa,Prymorskyi,"vul. Mira, 84",46.480877,30.717757,1,6,13,NA,17,846,USD,NA,AG2953,PrimeEstate,380747642624,portal_b,Comfortable 1-room apartment in Prymorskyi district. Total area 121 sq.m.
L100011,2024-03-26,NA,active,rent,Odesa,Suvorovskyi,"vul. Franka, 55",46.500032,30.721337,2,1,11,55,NA,284,USD,10650,AG6002,RealtyPro,380773473321,portal_a,"Great location in Odesa. 2 rooms, 1 floor. Well renovated."
L100012,2024-02-16,NA,active,sale,Odesa,Prymorskyi,"vul. Teatralna, 147",46.530491,30.737686,4,21,21,75,13,2787733,UAH,2787733,AG8537,RealtyPro,380561646264,portal_a,"Perfect for families. 4-bedroom apartment, 21/21 floor."
L100013,2024-05-02,NA,active,rent,Lviv,Lychakivskyi,"vul. Franka, 27",NA,24.0338,3,24,25,30,6,5754,UAH,NA,AG1604,CityRealty,380853887519,portal_b,"Modern design, all amenities. Lychakivskyi, 30 sq.m."
L100014,2024-01-09,NA,active,rent,Kyiv,Dniprovskyi,"vul. Parkova, 5",50.478588,30.525524,2,4,6,70,9,18971,UAH,NA,AG4782,RealtyPro,380776334424,portal_b,Comfortable 2-room apartment in Dniprovskyi district. Total area 70 sq.m.
L100015,2024-04-03,NA,withdrawn,rent,Odesa,Kiiivskyi,"vul. Heroiv, 131",NA,30.681205,4,18,21,37,8,236,USD,8850,AG7322,PrimeEstate,380594095457,portal_b,"Modern design, all amenities. Kiiivskyi, 37 sq.m."
L100016,2024-03-29,NA,active,rent,Kyiv,Sviatoshynskyi,"vul. Heroiv, 110",50.382396,30.595372,3,9,16,100,18,513,USD,19238,AG8560,UrbanHouse,380609775454,portal_a,"Great location in Kyiv. 3 rooms, 9 floor. Well renovated."
L100017,2024-02-28,2024-03-19,withdrawn,rent,Odesa,Prymorskyi,"vul. Mira, 138",46.459137,30.708375,1,3,7,122,17,843,USD,31612,NA,RealtyPro,380852737901,portal_b,"Spacious apartment near metro. 122 sq.m, 1 rooms. Excellent condition."
L100018,2024-03-27,2024-04-24,closed,sale,Odessa,Kiiivskyi,"vul. Franka, 138",46.464483,30.76379,4,4,18,43,6,1681879,UAH,1681879,AG1109,CityRealty,380924670042,portal_b,Comfortable 4-room apartment in Kiiivskyi district. Total area 43 sq.m.
